"sample","PC1","PC2","PC3","group","cohort"
"CIRR_1",-7.55274279794462,2.42771857556724,2.83367897287935,"Cirrhosis","GU"
"CIRR_10",0.831962274344907,-2.41769857413289,-1.4373146895791,"Cirrhosis","GU"
"CIRR_11",8.49607292424007,3.12538649754993,1.2963900598077,"Cirrhosis","GU"
"CIRR_12",-2.57966583119544,0.111300074441888,-4.46714789385424,"Cirrhosis","GU"
"CIRR_13",-2.44369027165692,2.76824699573196,-1.17488036500531,"Cirrhosis","GU"
"CIRR_14",-4.21703089847399,3.20185826740756,-0.650525472802595,"Cirrhosis","GU"
"CIRR_15",-7.20927821196564,-5.01068258401767,0.987146223090873,"Cirrhosis","GU"
"CIRR_16",8.01131644417998,-5.43684691194813,-2.35936978959613,"Cirrhosis","GU"
"CIRR_17",-9.12352042416536,-0.587406663499455,0.745475096874026,"Cirrhosis","GU"
"CIRR_18",7.763024515416,0.403763554651462,0.023169832726238,"Cirrhosis","GU"
"CIRR_19",-4.65481154077328,-4.2391596888259,4.73819336510738,"Cirrhosis","GU"
"CIRR_2",5.49047765923298,-1.39994093265042,-0.282817008195963,"Cirrhosis","GU"
"CIRR_20",-5.97305080359307,-2.19711026648316,-3.4133670192853,"Cirrhosis","GU"
"CIRR_21",2.11929718370585,4.35092148139195,1.01552683984298,"Cirrhosis","GU"
"CIRR_22",-2.70948720134529,2.11481962157528,-1.92590838837435,"Cirrhosis","GU"
"CIRR_23",1.31986060728236,5.16938732275903,1.36913987636018,"Cirrhosis","GU"
"CIRR_24",-6.56227324768302,2.53866420179577,-3.08700895733836,"Cirrhosis","GU"
"CIRR_25",-2.6287618931424,-2.00942934148589,-0.344752670491613,"Cirrhosis","GU"
"CIRR_26",-5.64694943280816,0.1345482540757,1.32803416901786,"Cirrhosis","GU"
"CIRR_27",-2.95458251061401,1.40189132789837,0.826095298326572,"Cirrhosis","GU"
"CIRR_28",2.24583427014298,-5.83229023869236,-1.73357110443059,"Cirrhosis","GU"
"CIRR_29",1.86096688816356,-2.95997881806127,-2.12801655298796,"Cirrhosis","GU"
"CIRR_3",2.42298000662838,-7.82294587917504,-5.94542617254672,"Cirrhosis","GU"
"CIRR_30",-4.19947744940539,-0.752979893032906,2.45266804238728,"Cirrhosis","GU"
"CIRR_31",1.34726795255404,-0.862760260679265,-1.09358666374603,"Cirrhosis","GU"
"CIRR_32",4.3656604333263,7.95270406895339,-0.441844801061423,"Cirrhosis","GU"
"CIRR_33",-2.71354383925446,-0.549832869613525,-0.563186924779894,"Cirrhosis","GU"
"CIRR_34",-10.5603332054307,-3.26051068636965,0.955435454848283,"Cirrhosis","GU"
"CIRR_35",-12.9226303161236,-8.36564935591637,-1.31628965596021,"Cirrhosis","GU"
"CIRR_36",-0.353388768128736,-3.75690877191251,1.1403390758489,"Cirrhosis","GU"
"CIRR_37",1.47239453625464,-4.35265500503731,-4.27602286918065,"Cirrhosis","GU"
"CIRR_38",-12.2597320119253,-0.884859492230367,2.82614898092761,"Cirrhosis","GU"
"CIRR_39",-7.4070103298816,-0.524223737372396,-0.823087218428756,"Cirrhosis","GU"
"CIRR_4",3.1439574090648,-4.64287707036185,-2.8155802479156,"Cirrhosis","GU"
"CIRR_40",-7.15083412141182,0.519852538338204,2.6127753070081,"Cirrhosis","GU"
"CIRR_41",-0.485383424200168,-1.20614556835427,-1.01935340349988,"Cirrhosis","GU"
"CIRR_42",-5.57755238247363,-6.84486360483657,-1.45536715661858,"Cirrhosis","GU"
"CIRR_43",6.52011554742377,-2.52720458540529,0.492225499038851,"Cirrhosis","GU"
"CIRR_44",-2.59014927832767,0.0720608155955874,3.59963746743841,"Cirrhosis","GU"
"CIRR_45",3.96764929206175,-7.43538760099254,1.78167151776307,"Cirrhosis","GU"
"CIRR_46",-0.901965113700644,-1.13557995009746,-1.9147722077861,"Cirrhosis","GU"
"CIRR_47",-4.20783626173672,-0.526191443989785,0.470148169493529,"Cirrhosis","GU"
"CIRR_48",5.17712096592456,1.52245847280856,-2.33822075316044,"Cirrhosis","GU"
"CIRR_49",2.18596512687995,-1.449062401684,1.98224342513954,"Cirrhosis","GU"
"CIRR_5",0.24159763688511,3.66753053454647,2.07553418516925,"Cirrhosis","GU"
"CIRR_50",8.65664774859741,-7.78071398715401,0.699312642478049,"Cirrhosis","GU"
"CIRR_51",2.6356690669496,-5.97329432756534,-2.64421348623829,"Cirrhosis","GU"
"CIRR_52",-3.21741318705978,1.89680685913177,-0.514228586237437,"Cirrhosis","GU"
"CIRR_53",-5.04238101634026,4.541600297291,-0.245016297148607,"Cirrhosis","GU"
"CIRR_54",-0.431363205492509,-0.55206388952937,1.7266546584601,"Cirrhosis","GU"
"CIRR_55",-9.92439681683181,-0.0245383632905274,-0.477619252339494,"Cirrhosis","GU"
"CIRR_56",7.77212311150227,3.34060768561802,1.74113044263047,"Cirrhosis","GU"
"CIRR_57",-2.15451038321039,7.54436590751247,0.165361323861272,"Cirrhosis","GU"
"CIRR_58",-4.80828940213633,-6.07839869567295,2.15079085610946,"Cirrhosis","GU"
"CIRR_59",-7.33407261014023,-8.16130858119296,-1.64396448428953,"Cirrhosis","GU"
"CIRR_6",0.16186240255482,-6.51859342001001,4.22299333566226,"Cirrhosis","GU"
"CIRR_7",-2.62482680952953,-1.74372617593419,-5.23927417924321,"Cirrhosis","GU"
"CIRR_8",5.23264715638296,4.82135569807668,-0.0226811086959647,"Cirrhosis","GU"
"CIRR_9",-4.25645131639692,0.748670513801489,-0.781955414480785,"Cirrhosis","GU"
"HCC_1",-4.07797868825689,7.3653309177827,-1.03588935247168,"HCC","GU"
"HCC_10",-0.908305092233695,1.74784697790821,-0.681178623678645,"HCC","GU"
"HCC_11",-9.98044476289796,-3.28470287393171,-3.40114809895584,"HCC","GU"
"HCC_12",-1.26314084407394,-2.17780049703147,2.28968854700129,"HCC","GU"
"HCC_13",4.54291417776757,0.710487458248876,0.375939169030861,"HCC","GU"
"HCC_14",-10.4664434240753,3.48580874896986,-3.4012768571641,"HCC","GU"
"HCC_15",6.77979001236081,-1.64005097985358,1.32146099024662,"HCC","GU"
"HCC_16",0.0198304784356055,5.14366321449372,-3.34611942291593,"HCC","GU"
"HCC_17",-1.01202817319416,5.00788203920487,-2.18542758360377,"HCC","GU"
"HCC_18",0.150133194129031,2.05925502549571,0.0037558907169241,"HCC","GU"
"HCC_19",-0.512501309525318,0.704546740453386,6.19221107875076,"HCC","GU"
"HCC_2",-1.31186391386925,-1.95199437031834,12.0518792936382,"HCC","GU"
"HCC_20",-0.0769920527970861,1.82517923398697,-0.0136822641245138,"HCC","GU"
"HCC_21",0.380508883582121,3.80706525822222,1.12241099833034,"HCC","GU"
"HCC_22",-3.5894049983798,3.23251376034779,0.316400497212551,"HCC","GU"
"HCC_23",2.1836216761825,-3.36311552437138,-0.281642889313616,"HCC","GU"
"HCC_24",3.18198086151542,2.8196011501717,2.71202017720998,"HCC","GU"
"HCC_25",0.472887717831881,4.46128673094362,-2.77795770117829,"HCC","GU"
"HCC_26",8.28362799309861,-0.492415047373808,-0.747193008978831,"HCC","GU"
"HCC_27",10.078542983546,-5.70886971679509,1.00040862680632,"HCC","GU"
"HCC_28",10.937809152525,-0.424729492763583,1.71027345131906,"HCC","GU"
"HCC_29",-4.10861799364416,4.86821218472771,-2.10484950266201,"HCC","GU"
"HCC_3",5.21648071019542,-2.35500157443233,-1.11444821391542,"HCC","GU"
"HCC_30",3.04384231193525,-4.42703452592304,0.0846509947962835,"HCC","GU"
