"ID","setSize","NES","pvalue","p.adjust"
"COAGULATION",45,1.50669120147721,0.0103203028927401,0.0412812115709603
"EPITHELIAL_MESENCHYMAL_TRANSITION",10,-1.4627336137684,0.0572916666666667,0.114583333333333
"COMPLEMENT",23,1.34799420943837,0.0899182561307902,0.119891008174387
