"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0033344","cholesterol efflux","3/18","74/18986",0.0405405405405405,42.7612612612613,11.087956659252,4.44697442714221e-05,0.0013211219860635,0.000770418815228585,"APOC3/ADIPOQ/APOC2",3
"GO:0045806","negative regulation of endocytosis","3/18","76/18986",0.0394736842105263,41.6359649122807,10.9345871717572,4.81691673088025e-05,0.00132280678261429,0.000771401312663532,"APOC3/ADIPOQ/APOC2",3
"GO:0032371","regulation of sterol transport","3/18","77/18986",0.038961038961039,41.0952380952381,10.8601209295726,5.00922624552395e-05,0.00132280678261429,0.000771401312663532,"APOC3/ADIPOQ/APOC2",3
"GO:0032374","regulation of cholesterol transport","3/18","77/18986",0.038961038961039,41.0952380952381,10.8601209295726,5.00922624552395e-05,0.00132280678261429,0.000771401312663532,"APOC3/ADIPOQ/APOC2",3
"GO:0034370","triglyceride-rich lipoprotein particle remodeling","2/18","12/18986",0.166666666666667,175.796296296296,18.6583907501504,5.57161036326041e-05,0.00132418606300156,0.000772205646837847,"APOC3/APOC2",2
"GO:0034372","very-low-density lipoprotein particle remodeling","2/18","12/18986",0.166666666666667,175.796296296296,18.6583907501504,5.57161036326041e-05,0.00132418606300156,0.000772205646837847,"APOC3/APOC2",2
"GO:1900121","negative regulation of receptor binding","2/18","12/18986",0.166666666666667,175.796296296296,18.6583907501504,5.57161036326041e-05,0.00132418606300156,0.000772205646837847,"B2M/ADIPOQ",2
"GO:0010896","regulation of triglyceride catabolic process","2/18","13/18986",0.153846153846154,162.273504273504,17.9183278400747,6.58093182072294e-05,0.00151361431876628,0.000882671670351634,"APOC3/APOC2",2
"GO:0010745","negative regulation of macrophage derived foam cell differentiation","2/18","14/18986",0.142857142857143,150.68253968254,17.2587519106309,7.67344130480785e-05,0.00160916577950824,0.000938392976903747,"ADIPOQ/CRP",2
"GO:0033700","phospholipid efflux","2/18","14/18986",0.142857142857143,150.68253968254,17.2587519106309,7.67344130480785e-05,0.00160916577950824,0.000938392976903747,"APOC3/APOC2",2
"GO:0051004","regulation of lipoprotein lipase activity","2/18","14/18986",0.142857142857143,150.68253968254,17.2587519106309,7.67344130480785e-05,0.00160916577950824,0.000938392976903747,"APOC3/APOC2",2
"GO:0097006","regulation of plasma lipoprotein particle levels","3/18","91/18986",0.032967032967033,34.7728937728938,9.94824116432444,8.2503803239248e-05,0.00168072033455954,0.00098012036930836,"APOC3/ADIPOQ/APOC2",3
"GO:1900120","regulation of receptor binding","2/18","16/18986",0.125,131.847222222222,16.1295264133655,0.000101074602179882,0.00200183864872934,0.00116738210120039,"B2M/ADIPOQ",2
"GO:0042157","lipoprotein metabolic process","3/18","102/18986",0.0294117647058824,31.0228758169935,9.36561201938063,0.000115848133139431,0.00223242483590309,0.00130184957582006,"APOL1/APOC3/APOC2",3
"GO:0034384","high-density lipoprotein particle clearance","2/18","18/18986",0.111111111111111,117.197530864198,15.1933367747644,0.00012872540508299,0.00241529510063611,0.00140849127445377,"APOC3/APOC2",2
"GO:0019217","regulation of fatty acid metabolic process","3/18","108/18986",0.0277777777777778,29.2993827160494,9.0853493652821,0.000137257421080083,0.00250934721102818,0.00146333822743948,"APOC3/ADIPOQ/APOC2",3
"GO:0043691","reverse cholesterol transport","2/18","20/18986",0.1,105.477777777778,14.400641344611,0.000159675582578806,0.00284621725946722,0.00165978566101654,"APOC3/APOC2",2
"GO:0010985","negative regulation of lipoprotein particle clearance","2/18","21/18986",0.0952380952380952,100.455026455026,14.0472316357712,0.000176384431861638,0.00306736829066703,0.00178875097780095,"APOC3/APOC2",2
"GO:0030301","cholesterol transport","3/18","123/18986",0.024390243902439,25.7262872628726,8.47494457384224,0.000201655486233802,0.00342334194487383,0.00199633877349252,"APOC3/ADIPOQ/APOC2",3
"GO:0015918","sterol transport","3/18","132/18986",0.0227272727272727,23.9722222222222,8.15866321032127,0.000248330832672573,0.00411767171384987,0.00240124060968583,"APOC3/ADIPOQ/APOC2",3
"GO:0019433","triglyceride catabolic process","2/18","28/18986",0.0714285714285714,75.3412698412698,12.1267245816465,0.000316246188792658,0.00501074516909256,0.00292204080872748,"APOC3/APOC2",2
"GO:0060586","multicellular organismal-level iron ion homeostasis","2/18","28/18986",0.0714285714285714,75.3412698412698,12.1267245816465,0.000316246188792658,0.00501074516909256,0.00292204080872748,"B2M/TF",2
"GO:0010039","response to iron ion","2/18","29/18986",0.0689655172413793,72.7432950191571,11.9103985912124,0.000339481132558145,0.00526195755465125,0.00306853655287111,"B2M/TF",2
"GO:0010565","regulation of cellular ketone metabolic process","3/18","153/18986",0.0196078431372549,20.681917211329,7.52981221806791,0.000383129899390083,0.00565129854858582,0.00329558267762811,"APOC3/ADIPOQ/APOC2",3
"GO:0032372","negative regulation of sterol transport","2/18","31/18986",0.0645161290322581,68.0501792114695,11.5093203484612,0.000388378161123008,0.00565129854858582,0.00329558267762811,"APOC3/APOC2",2
"GO:0032375","negative regulation of cholesterol transport","2/18","31/18986",0.0645161290322581,68.0501792114695,11.5093203484612,0.000388378161123008,0.00565129854858582,0.00329558267762811,"APOC3/APOC2",2
