"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
NA,NA,"hsa04518","Integrin signaling","3/9","154/9399",0.0194805194805195,20.3441558441558,7.49312304065604,0.000337045670857656,0.00975235666125776,0.00804604105765221,"7412/3384/1311",3
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","2/9","37/9399",0.0540540540540541,56.4504504504505,10.4623152263598,0.000533502981717545,0.00975235666125776,0.00804604105765221,"8542/7412",2
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","2/9","50/9399",0.04,41.7733333333333,8.9492124653732,0.000974972192132147,0.00975235666125776,0.00804604105765221,"7412/1311",2
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","2/9","52/9399",0.0384615384615385,40.1666666666667,8.76775369988976,0.00105430882824408,0.00975235666125776,0.00804604105765221,"345/344",2
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","2/9","76/9399",0.0263157894736842,27.4824561403509,7.17618117439309,0.00223916550370472,0.0165698247274149,0.0136706946541972,"345/9370",2
